occurrence_id,classification,type of occurrence,localization,fu,country,aerodrome,time,under_investigation,investigating_command,investigation_status,publication_day,aircrafts_involved,takeoff,CONTAGEM,ano,dia,mes
25799,ACCIDENT,COLLISION AGAINST OBSTACLE DURING THE FLIGHT,SÃO PAULO,SP,BRAZIL,Nao informado,11:40:00,YES,SERIPA-4,IN PROGRESS,UNKNOWN,1,0.0,1,2006,02,01
25819,ACCIDENT,LOW ALTITUDE MANEUVERS,GUAÍBA,RS,BRAZIL,Nao informado,20:00:00,YES,SERIPA-5,IN PROGRESS,UNKNOWN,1,0.0,1,2006,12,01
25820,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,OIAPOQUE,AP,BRAZIL,Nao informado,12:40:00,YES,SERIPA-1,IN PROGRESS,UNKNOWN,1,0.0,1,2006,02,01
25839,ACCIDENT,COLLISION AGAINST OBSTACLE ON THE GROUND,MENDONZA,EX,ARGENTINA,Nao informado,00:00:00,UNKNOWN,CENIPA,DESCONHECIDO,UNKNOWN,1,0.0,1,2006,03,01
25999,SERIOUS INCIDENT,STRUCTURAL FAILURE,ELDORADO DO SUL,RS,BRAZIL,Nao informado,14:50:00,YES,SERIPA-5,IN PROGRESS,UNKNOWN,1,0.0,1,2006,12,01
26099,ACCIDENT,COLLISION AGAINST OBSTACLE DURING THE FLIGHT,GUARATUBA,PR,BRAZIL,Nao informado,13:15:00,YES,SERIPA-5,IN PROGRESS,UNKNOWN,1,0.0,1,2006,21,01
26119,ACCIDENT,COLLISION AGAINST OBSTACLE DURING THE FLIGHT,SANTO ANTÔNIO DA PATRULHA,RS,BRAZIL,Nao informado,19:30:00,YES,SERIPA-5,IN PROGRESS,UNKNOWN,1,0.0,1,2006,11,02
26120,ACCIDENT,LOSS OF CONTROL IN THE AIR,RECIFE,PE,BRAZIL,Nao informado,11:00:00,YES,SERIPA-2,IN PROGRESS,UNKNOWN,1,0.0,1,2006,21,01
26121,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,NOVO HORIZONTE,SP,BRAZIL,Nao informado,14:20:00,YES,SERIPA-4,IN PROGRESS,UNKNOWN,1,0.0,1,2006,16,01
26139,ACCIDENT,LOSS OF CONTROL IN THE AIR,BELO HORIZONTE,MG,BRAZIL,SBPR,16:45:00,YES,SERIPA-3,FINISHED,2015-11-30,1,0.0,1,2006,01,02
